Country,Year,Bank account,Location Type,Access to cellphone,Household size,Age of respondent,Gender of respondent,Relation with head of the house,Marital status,Education level,Job type
Kenya,2018,No,Urban,Yes,5,30,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,3,46,Male,Spouse,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Urban,Yes,1,29,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Kenya,2018,Yes,Urban,Yes,3,33,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,2,29,Female,Spouse,Married/Living together,Tertiary education,Self employed
Kenya,2018,No,Rural,Yes,7,28,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,2,30,Male,Head of Household,Married/Living together,Tertiary education,Self employed
Kenya,2018,No,Rural,Yes,5,43,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,2018,No,Rural,Yes,5,21,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,No,6,16,Male,Child,Single/Never Married,Primary education,Other Income
Kenya,2018,No,Rural,Yes,5,56,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,Yes,Urban,Yes,3,44,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,57,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Rural,Yes,6,38,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,1,30,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,7,46,Female,Head of Household,Single/Never Married,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,4,29,Female,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Urban,Yes,6,24,Male,Child,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,3,32,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,1,57,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,3,69,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Rural,No,2,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,5,31,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,7,35,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,5,52,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,2018,No,Urban,Yes,2,26,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,2018,No,Urban,Yes,3,35,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,4,42,Female,Spouse,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,No,Rural,Yes,4,68,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,6,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,6,27,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,Yes,Rural,Yes,1,25,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,6,56,Female,Spouse,Single/Never Married,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,7,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,2,23,Male,Other relative,Single/Never Married,Tertiary education,Informally employed
Kenya,2018,Yes,Urban,Yes,4,40,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,2018,Yes,Urban,Yes,5,32,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,2018,Yes,Rural,Yes,4,45,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,No,Rural,No,7,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,6,47,Male,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,4,63,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Urban,Yes,6,47,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,Yes,Urban,Yes,1,24,Female,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,Yes,Rural,Yes,1,45,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,6,41,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,4,22,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,No,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Rural,No,9,42,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,No,Rural,Yes,4,19,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,57,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,2,68,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,No,7,70,Female,Head of Household,Widowed,No formal education,Other Income
Kenya,2018,No,Rural,No,2,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,3,24,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,No,Urban,No,5,48,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,9,43,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,6,31,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,3,48,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,No,Urban,No,6,58,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,No,Urban,Yes,5,44,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
Kenya,2018,No,Urban,Yes,2,25,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Rural,Yes,8,61,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,Yes,6,50,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,4,52,Female,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,No,Rural,No,1,72,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,Yes,Rural,Yes,4,31,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,2,95,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,No,2,75,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,3,31,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,2018,No,Urban,Yes,1,23,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,No,Rural,Yes,2,72,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,3,46,Male,Head of Household,Widowed,Tertiary education,Formally employed Government
Kenya,2018,No,Rural,Yes,6,34,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Rural,Yes,6,27,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,12,23,Female,Child,Single/Never Married,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,2,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,1,27,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,4,24,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,7,45,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,2018,Yes,Urban,Yes,1,29,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Kenya,2018,No,Urban,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,7,67,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,3,71,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,Yes,Urban,Yes,1,44,Male,Head of Household,Divorced/Seperated,Secondary education,Formally employed Government
Kenya,2018,Yes,Rural,Yes,3,23,Male,Child,Divorced/Seperated,Tertiary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,8,55,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,6,20,Female,Child,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,No,Urban,Yes,9,37,Female,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,2018,No,Urban,Yes,3,26,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,2018,No,Rural,Yes,2,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,7,18,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,1,72,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,1,86,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,2018,No,Rural,No,6,22,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,No,Rural,Yes,3,28,Female,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Kenya,2018,No,Rural,Yes,4,71,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,3,95,Male,Head of Household,Married/Living together,Primary education,Other Income
Kenya,2018,No,Rural,No,3,68,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,16,33,Female,Spouse,Married/Living together,No formal education,Remittance Dependent
Kenya,2018,No,Rural,No,6,23,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,1,72,Female,Head of Household,Widowed,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,1,23,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Remittance Dependent
Kenya,2018,Yes,Rural,Yes,2,43,Female,Spouse,Married/Living together,Tertiary education,Farming and Fishing
Kenya,2018,No,Rural,No,4,50,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,No,Urban,Yes,3,23,Female,Child,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,6,31,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,Yes,Rural,Yes,10,17,Female,Spouse,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,No,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,No,Urban,Yes,5,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,6,37,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,No,Rural,Yes,1,57,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,No,Urban,No,2,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,2,52,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Rural,No,2,20,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,2018,No,Urban,Yes,5,25,Female,Child,Divorced/Seperated,Primary education,Self employed
Kenya,2018,No,Rural,Yes,3,52,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,No,Urban,No,7,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,5,23,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,4,26,Female,Head of Household,Married/Living together,Vocational/Specialised training,Remittance Dependent
Kenya,2018,No,Rural,No,1,48,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,No,Urban,No,1,75,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,2018,No,Rural,Yes,7,37,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Rural,No,4,25,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,2018,Yes,Urban,Yes,1,21,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,No,Rural,No,2,16,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,Yes,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Other Income
Kenya,2018,Yes,Urban,Yes,1,29,Male,Head of Household,Married/Living together,Tertiary education,Self employed
Kenya,2018,No,Urban,No,9,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,Yes,3,40,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,No,Urban,Yes,1,21,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,2018,No,Urban,No,3,19,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,No,Rural,No,2,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,Yes,Urban,Yes,5,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
